Ester library;Compound chemical class;Log P (+/- SD);;Smiles code;Preparation or commercial source or preparation;Brand;Ester concentration [mg/ml];Mw [g/mol];concentration [mM];Reaction buffer;Reaction pH;Volume reaction [ml];Additives (solvents);Additives (pH indicator);Reaction T (¼C);Enzyme amount [mg];Reaction time (h);Shaking [rpm];Assay method;Substrate;EH1(72);EH2(71);EH3(69);CalB(68);EH4(67);EH5(67);EH6(66);EH7(64);EH8(63);EH9(61);EH10(58);EH11(53);EH12(51);EH13(49);EH14(48);EH15(42);EH16(42);EH17(39);EH18(38);EH19(37);EH20(37);EH21(36);CalA(36);EH22(35);EH23(34);EH24(34);EH25(33);EH26(32);EH27(32);EH28(31);EH29(31);EH30(30);EH31(29);EH32(29);EH33(29);EH34(29);EH35(29);EH36(28);EH37(28);EH38(28);EH39(28);EH40(27);EH41(27);EH42(27);EH43(27);EH44(25);EH45(24);EH46(23);EH47(23);EH48(23);EH49(23);EH50(22);EH51(22);EH52(21);EH53(21);EH54(21);EH55(21);EH56(21);EH57(21);EH58(21);EH59(21);EH60(21);EH61(20);EH62(20);EH63(20);EH64(20);EH65(20);EH66(19);EH67(18);EH68(18);EH69(18);EH70(18);EH71(18);EH72(18);EH73(17);EH74(17);EH75(16);EH76(16);EH77(16);EH78(15);EH79(14);EH80(14);EH81(14);EH82(14);EH83(14);EH84(13);EH85(13);EH86(13);EH87(13);EH88(13);EH89(13);EH90(13);EH91(13);EH92(12);EH93(12);EH94(12);EH95(11);EH96(11);EH97(11);EH98(11);EH99(11);EH100(11);EH101(11);EH102(10);EH103(10);EH104(10);EH105(10);EH106(9);EH107(9);EH108(9);EH109(9);EH110(8);EH111(8);EH112(8);EH113(8);EH114(8);EH115(8);EH116(7);EH117(6);EH118(6);EH119(6);EH120(5);EH121(5);EH122(5);EH123(4);EH124(4);EH125(4);EH126(4);EH127(4);EH128(4);EH129(3);EH130(2);EH131(2);EH132(2);EH133(2);EH134(2);EH135(2);EH136(2);EH137(2);EH138(2);EH139(2);EH140(1);EH141(1);EH142(1);EH143(1);EH144(1);EH145(1)
Vinyl acrylate;Vinyl alkenyl ester;0.38;0.41;C=CC(=O)OC=C ;http://www.sigmaaldrich.com/catalog/product/aldrich/771422?lang=es&region=ES;Sigma-Aldrich;1.14;98.10;11.58;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Vinyl acrylate;11445.08;113.26;52.76;11328.84;176.46;2040.56;190.63;3.06;264.30;32.09;0.46;16.31;1.51;5.71;65.32;25.09;27.00;301.54;0.00;1147.34;0.00;0.00;0.00;166.56;427.81;0.00;112.40;0.00;13.18;6.95;221.66;0.00;0.00;27.38;0.00;0.00;0.00;0.00;224.04;0.00;0.00;0.00;263.82;13.37;0.00;0.00;0.00;0.00;114.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;180.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.06;0.00;0.00;13.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Geranyl acetate;Alkenyl ester;4.10;0.32;CC(=CCCC(=CCOC(=O)C)C)C ;http://www.sigmaaldrich.com/catalog/product/aldrich/173495?lang=es&region=ES;Sigma-Aldrich;1.14;196.29;5.79;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Geranyl acetate;708.04;113.73;102.58;1122.57;0.40;3191.93;3.74;12.85;12.61;90.06;0.10;0.00;10.11;111.45;139.18;0.00;8.74;131.94;61.89;0.00;0.00;8088.90;131.95;0.00;496.69;0.00;68.06;0.00;21.53;0.00;0.00;0.00;0.00;0.00;8.88;20.83;2.29;5.82;0.00;4.87;5.86;0.00;0.00;0.00;168.94;0.00;0.00;2.52;0.00;0.00;0.00;0.00;0.00;100.06;0.00;318.24;0.00;3.20;0.00;1.56;0.00;0.03;0.00;0.00;14.97;0.00;0.00;0.00;7.68;3.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;33.76;0.00;0.00;0.00;0.00;47.16;0.00;0.00;0.00;0.00;0.00;662.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.04;0.00;0.00;1972.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3-Methyl-3-buten-1-yl acetate;Alkenyl ester;1.91;0.35;CC(=C)CCOC(=O)C;http://www.sigmaaldrich.com/catalog/product/aldrich/s881171?lang=es&region=ES;Sigma-Aldrich;1.14;128.17;8.87;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);3-Methyl-3-buten-1-yl acetate;10691.35;107.51;104.57;2231.57;68.66;2993.89;309.40;13.55;0.00;88.77;0.03;0.00;69.20;48.95;139.07;7.53;317.27;0.00;0.00;222.85;2.66;5775.85;0.00;124.71;3323.15;14.53;114.16;0.00;0.00;0.00;1536.08;0.00;0.00;14.02;0.00;0.80;0.00;0.00;216.37;0.00;6.58;0.00;70.41;0.00;17.00;0.00;0.00;1.88;0.00;0.00;0.00;0.00;0.00;114.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.85;0.00;0.00;0.00;0.00;0.00;6.47;0.00;0.00;69.37;0.00;0.00;0.00;144.92;0.00;0.00;0.00;0.00;411.53;0.00;0.00;0.00;0.00;0.00;4646.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl 2-ethylacetoacetate;Alkyl ester (oxo branched);1.59;0.31;CCC(C(=O)C)C(=O)OCC ;http://www.sigmaaldrich.com/catalog/product/aldrich/165263?lang=es&region=ES;Sigma-Aldrich;1.14;158.19;7.18;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl 2-ethylacetoacetate;195.71;110.48;104.88;1293.94;0.28;14.34;13.41;4.13;0.76;46.03;1.37;0.05;0.06;1.25;0.00;1.60;0.00;81.47;0.00;1382.61;0.04;0.00;0.00;0.00;0.00;4.12;0.00;13.24;0.00;0.00;0.00;1.07;1.83;0.00;1.89;1.93;0.00;6.89;0.00;14.02;0.00;0.00;21.15;9.75;0.00;22.51;0.00;2.01;5.59;0.00;1.21;32.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.35;0.00;0.00;0.00;3.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl 2-methylacetoacetate;Alkyl ester (oxo branched);1.06;0.31;CCOC(=O)C(C)C(=O)C ;http://www.sigmaaldrich.com/catalog/product/aldrich/e35400?lang=es&region=ES;Sigma-Aldrich;1.14;144.17;7.88;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl 2-methylacetoacetate;2131.80;100.48;98.89;606.48;0.98;766.65;54.89;11.29;0.85;50.89;0.01;0.98;13.07;3.60;9.49;0.47;73.76;212.23;5.45;1546.74;0.07;0.00;0.00;0.00;0.00;3.64;0.00;12.03;0.00;0.00;0.00;0.27;3.39;0.00;31.61;3.09;0.00;30.35;1.25;0.00;0.00;0.00;0.00;3.95;0.00;8.90;0.00;2.73;7.06;0.00;1.00;171.56;0.00;0.00;4.49;0.00;0.00;0.00;0.00;0.00;0.95;0.00;0.00;0.00;15.90;0.00;0.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl 3-oxohexanoate;Alkyl ester (oxo branched);1.78;0.31;CCCC(=O)CC(=O)OCC ;http://www.sigmaaldrich.com/catalog/product/aldrich/e15809?lang=es&region=ES;Sigma-Aldrich;1.14;158.19;7.18;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl 3-oxohexanoate;12075.89;100.59;99.30;68061.50;48.40;4181.13;55.32;22.53;2239.16;106.30;0.23;9.28;16.26;0.22;44.81;0.54;179.24;304.07;31.56;1698.21;0.46;28937.36;1452.82;96.35;0.00;38.48;21.20;18.49;89.08;0.00;125.51;2.13;21.44;0.09;43.33;7.59;0.00;35.13;0.00;0.00;3.48;0.00;48.13;3.14;4.58;59.02;6.32;2.35;0.00;7.02;1.13;183.97;0.00;0.00;3.99;0.00;0.00;2.61;113.66;0.00;1.19;0.00;0.00;0.00;40.47;0.00;0.00;0.00;0.00;0.00;108.20;0.00;8.67;0.00;0.00;21.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl acetoacetate;Alkyl ester (oxo branched);0.72;0.31;CCOC(=O)CC(=O)C ;http://www.sigmaaldrich.com/catalog/product/sial/00410?lang=es&region=ES;Sigma-Aldrich;1.14;130.14;8.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl acetoacetate;10581.36;102.05;98.39;56210.88;93.86;1195.16;110.86;3.42;164.42;14.16;0.07;2.03;13.86;3.44;14.34;1.03;86.58;296.48;9.46;0.00;0.75;0.00;108.40;4.27;0.00;34.80;15.05;0.00;82.27;0.00;21.02;1.33;12.84;0.00;45.23;0.00;0.00;43.01;301.10;2.20;0.00;1.59;0.00;2.69;0.00;71.54;10.57;0.00;12.40;0.00;0.76;4.23;0.00;0.00;3.77;0.00;0.00;0.00;24.31;0.00;1.14;0.00;0.00;0.00;29.89;0.00;0.00;0.00;0.00;0.00;112.39;0.00;0.00;0.00;0.00;21.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl propionylacetate;Alkyl ester (oxo branched);1.25;0.31;CCC(=O)CC(=O)OCC ;http://www.sigmaaldrich.com/catalog/product/aldrich/247162?lang=es&region=ES;Sigma-Aldrich;1.14;144.17;7.88;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl propionylacetate;11755.63;102.68;98.01;69105.06;0.01;2470.02;94.23;13.21;246.40;66.90;0.33;2.96;22.80;13.36;60.71;0.65;117.14;308.41;20.17;0.00;0.49;8915.96;1429.94;79.32;0.00;27.81;0.00;15.36;85.83;9.31;106.35;2.13;17.35;0.00;93.06;0.00;0.00;81.15;1.82;7.21;0.40;2.49;0.00;16.85;15.67;0.00;10.00;2.86;9.49;0.00;1.58;20.00;0.00;0.00;3.44;0.00;0.98;3.55;129.40;0.00;1.20;0.00;0.00;0.00;150.39;0.00;0.00;0.00;0.00;0.00;98.59;0.00;3.99;0.00;0.00;22.05;0.00;0.00;4.06;0.00;0.00;0.00;3.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
?-Valerolactone;Aryl ester (lactone);-0.27;0.28;CC1CCC(=O)O1;http://www.sigmaaldrich.com/catalog/product/aldrich/v403?lang=es&region=ES;Sigma-Aldrich;1.14;100.12;11.35;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);?-Valerolactone;540.63;4.67;85.97;178.76;0.00;0.00;0.00;2.00;0.00;8.16;0.00;0.03;0.00;0.00;0.00;0.02;0.00;0.00;12.76;0.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.86;0.00;1.36;5.22;0.32;0.00;21.44;0.11;53.07;0.00;0.00;0.00;4.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Methyl glycolate;Alkyl ester (hydroxylated);-1.07;0.25;COC(=O)CO;http://www.sigmaaldrich.com/catalog/product/aldrich/325260?lang=es&region=ES;Sigma-Aldrich;1.14;90.08;12.62;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Methyl glycolate;3988.63;101.48;99.30;11284.63;2.61;4231.63;44.52;1.46;7.01;16.15;0.00;0.00;0.68;31.77;28.61;0.00;167.94;91.54;9.09;0.00;0.00;7454.37;230.17;0.00;199.31;0.00;0.00;15.65;32.87;23.26;0.00;0.00;0.00;0.19;4.68;0.00;0.00;3.91;746.72;0.04;0.00;15.62;96.07;16.98;0.59;0.00;4.26;1.87;2.23;0.00;6.38;0.00;3.37;22.19;0.00;0.00;2.37;2.90;0.00;0.00;0.00;8.29;3.31;12.79;0.00;4.04;4.29;13.02;6.94;18.72;0.00;1.78;0.00;0.00;0.00;0.00;7.86;13.96;43.50;0.00;12.32;5.34;7.69;54.26;20.88;0.00;0.00;5.48;1.00;160.75;1.50;0.00;106.31;0.00;0.00;4.91;0.00;5.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.54;0.00;3.93;2.47;0.00;0.00;0.00;3.67;0.00;4.33;0.00;4.22;13.98;5.35;0.00;0.00;0.00;3.56;0.00;0.00;0.00;2.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
D-Pantolactone;Aryl ester (chiral lactone);-0.80;0.37;CC1(COC(=O)[C@@H]1O)C;http://www.sigmaaldrich.com/catalog/product/aldrich/237817?lang=es&region=ES;Sigma-Aldrich;1.14;130.14;8.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);D-Pantolactone;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.86;0.00;0.00;0.00;0.00;7.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
L-Pantolactone;Aryl ester (chiral lactone);-0.80;0.37;CC1(COC(=O)[C@H]1O)C;http://www.sigmaaldrich.com/catalog/product/aldrich/729698?lang=es&region=ES;Sigma-Aldrich;1.14;130.14;8.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);L-Pantolactone;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.00;0.00;0.00;6.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(1R)-(-)-dimenthyl succinate;Alkyl diester;8.04;0.27;C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CCC(=O)O[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)C(C)C;http://www.sigmaaldrich.com/catalog/product/aldrich/306355?lang=es&region=ES;Sigma-Aldrich;1.14;394.59;2.88;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(1R)-(-)-dimenthyl succinate;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl 2-chlorobenzoate;Aromatic ester (one ring);3.01;0.23;CCOC(=O)C1=CC=CC=C1Cl ;https://www.alfa.com/es/catalog/A10141/;Alfa-aesar;1.14;184.62;6.16;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl 2-chlorobenzoate;736.14;25.45;104.75;243.30;0.00;1362.18;34.48;1.91;0.62;64.68;0.01;0.00;6.60;1.65;11.94;0.78;48.74;0.00;0.00;101.40;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;104.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Cyclohexyl butyrate;Aryl ester;3.30;0.21;CCCC(=O)OC1CCCCC1;https://www.alfa.com/es/catalog/B20695/;Alfa-aesar;1.14;170.25;6.67;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Cyclohexyl butyrate;6.43;96.23;106.35;0.00;0.00;4581.29;3.31;4.01;13.20;100.60;0.65;0.00;60.14;24.50;141.52;0.00;1236.68;0.00;0.00;0.00;0.00;6526.98;0.00;0.00;50.71;6.17;25.08;0.00;69.84;0.00;0.00;0.00;11.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;0.00;0.00;15.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35.25;0.00;0.00;4.30;0.00;5.58;0.00;0.00;0.00;0.00;0.00;0.00;82.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
